,Rent,Occupancy,Attached BathRoom,AB,TV,AC,CUPBOARD,BEDDING,GEASER
212,7500,2,1,1,0,0,1,1,1
213,7000,3,1,1,0,0,1,1,1
214,0,4,0,0,0,0,0,0,0
215,7500,2,0,0,0,0,0,0,0
216,7500,3,0,0,0,0,0,0,0
217,7500,1,1,1,1,1,1,1,1
218,8000,2,1,1,1,1,1,1,1
219,7500,3,1,1,1,1,1,1,1
220,8000,2,0,0,0,0,0,0,0
221,7000,3,0,0,0,0,0,0,0
222,6500,4,0,0,0,0,0,0,0
223,7500,2,1,1,0,1,1,1,1
224,7500,3,1,1,0,1,1,1,1
225,7000,4,1,1,0,1,1,1,1
226,10000,2,1,1,0,1,1,1,1
227,9000,3,1,1,0,1,1,1,1
228,10000,1,0,0,0,0,0,0,0
229,7000,2,0,0,0,0,0,0,0
230,15000,1,0,0,0,0,0,0,0
231,9500,2,0,0,0,0,0,0,0
232,8000,3,0,0,0,0,0,0,0
233,7000,4,0,0,0,0,0,0,0
234,15000,1,0,0,0,0,0,0,0
235,9500,2,0,0,0,0,0,0,0
236,15000,1,0,0,0,0,0,0,0
237,9500,2,1,1,1,1,1,1,1
238,6800,3,0,0,0,0,0,0,0
239,7300,2,1,1,0,0,0,1,0
240,6800,3,1,1,0,0,0,1,0
241,6000,2,0,0,0,0,0,0,0
242,5500,3,0,0,0,0,0,0,0
243,7500,2,0,0,0,0,1,1,1
244,7000,1,1,1,0,0,1,1,0
245,7000,2,0,0,0,1,1,1,1
246,6000,3,0,0,0,1,1,1,1
247,8000,2,0,1,0,0,1,1,0
248,7500,3,0,0,0,0,1,1,0
249,7000,4,0,1,0,0,1,0,0
250,8000,2,0,1,0,0,1,1,0
251,7500,3,0,0,0,0,1,1,0
252,7000,4,0,1,0,0,1,0,0
253,7000,2,0,0,0,0,0,0,0
254,6500,3,0,0,0,0,0,0,0
255,5500,1,1,1,0,1,1,1,1
256,4500,2,1,1,0,1,1,1,1
257,3500,3,1,1,0,1,1,1,1
258,3000,4,1,1,0,1,1,1,1
259,6500,3,0,0,0,0,0,0,0
260,15000,1,1,1,1,1,1,1,1
261,9500,2,0,0,0,0,0,0,0
262,7800,2,0,0,0,0,0,0,0
263,6500,3,0,0,0,0,0,0,0
264,5500,4,0,0,0,0,0,0,0
265,7800,2,0,0,0,0,0,0,0
266,6500,3,0,0,0,0,0,0,0
267,5500,4,0,0,0,0,0,0,0
268,7000,1,0,0,0,0,0,0,0
269,7000,2,0,0,0,0,0,0,0
270,6000,3,0,0,0,0,0,0,0
271,7000,1,0,0,0,0,0,0,0
272,7000,2,0,0,0,0,0,0,0
273,6000,3,0,0,0,0,0,0,0
274,5500,4,0,0,0,0,0,0,0
275,7000,1,0,0,0,0,0,0,0
276,6500,2,0,0,0,0,0,0,0
277,6000,3,1,1,0,0,1,1,1
278,14000,1,0,0,0,0,0,0,0
279,10000,2,0,0,0,0,0,0,0
280,9500,3,0,0,0,0,0,0,0
281,8500,4,0,0,0,0,0,0,0
282,7500,2,0,0,0,0,0,0,0
283,6500,3,0,0,0,0,0,0,0
284,5500,2,0,0,0,0,0,0,0
285,4500,3,0,0,0,0,0,0,0
286,7000,2,0,0,0,0,0,0,0
287,6500,2,0,1,0,0,1,1,1
288,6000,3,0,1,0,0,1,1,1
289,5500,4,0,1,0,0,1,1,1
290,12000,1,0,0,0,0,0,0,0
291,7500,2,0,0,0,0,0,0,0
292,6500,3,0,0,0,0,0,0,0
293,12000,1,0,0,0,0,0,0,0
294,7500,2,0,0,0,0,0,0,0
295,6500,3,0,0,0,0,0,0,0
296,5000,4,0,0,0,0,0,0,0
