,Rent,Occupancy,Attached BathRoom,AB,TV,AC,CUPBOARD,BEDDING,GEASER
207,10000,SINGLE,False,False,False,False,False,False,False
208,8000,DOUBLE,False,False,False,False,False,False,False
209,7500,DOUBLE,False,False,False,False,False,False,False
210,7000,THREE,False,False,False,False,False,False,False
211,6500,FOUR,False,False,False,False,True,True,False
212,7500,DOUBLE,True,True,False,False,True,True,True
213,7000,THREE,True,True,False,False,True,True,True
214,0,FOUR,False,False,False,False,False,False,False
215,7500,DOUBLE,False,False,False,False,False,False,False
216,7500,THREE,False,False,False,False,False,False,False
217,7500,SINGLE,True,True,True,True,True,True,True
218,8000,DOUBLE,True,True,True,True,True,True,True
219,7500,THREE,True,True,True,True,True,True,True
220,8000,DOUBLE,False,False,False,False,False,False,False
221,7000,THREE,False,False,False,False,False,False,False
222,6500,FOUR,False,False,False,False,False,False,False
223,7500,DOUBLE,True,True,False,True,True,True,True
224,7500,THREE,True,True,False,True,True,True,True
225,7000,FOUR,True,True,False,True,True,True,True
226,10000,DOUBLE,True,True,False,True,True,True,True
227,9000,THREE,True,True,False,True,True,True,True
228,10000,SINGLE,False,,,,,,
229,7000,DOUBLE,False,,,,,,
230,15000,SINGLE,False,,,,,,
231,9500,DOUBLE,False,,,,,,
232,8000,THREE,False,,,,,,
233,7000,FOUR,False,,,,,,
234,15000,SINGLE,False,False,False,False,False,False,False
235,9500,DOUBLE,False,False,False,False,False,False,False
236,15000,SINGLE,False,False,False,False,False,False,False
237,9500,DOUBLE,True,True,True,True,True,True,True
238,6800,THREE,False,False,False,False,False,False,False
239,7300,DOUBLE,True,True,False,False,False,True,False
240,6800,THREE,True,True,False,False,False,True,False
241,6000,DOUBLE,False,False,False,False,False,False,False
242,5500,THREE,False,False,False,False,False,False,False
243,7500,DOUBLE,False,False,False,False,True,True,True
244,7000,SINGLE,True,True,False,False,True,True,False
245,7000,DOUBLE,False,False,False,True,True,True,True
246,6000,THREE,False,False,False,True,True,True,True
247,8000,DOUBLE,False,True,False,False,True,True,False
248,7500,THREE,False,False,False,False,True,True,False
249,7000,FOUR,False,True,False,False,True,False,False
250,8000,DOUBLE,False,True,False,False,True,True,False
251,7500,THREE,False,False,False,False,True,True,False
252,7000,FOUR,False,True,False,False,True,False,False
253,7000,DOUBLE,False,False,False,False,False,False,False
254,6500,THREE,False,False,False,False,False,False,False
255,5500,SINGLE,True,True,False,True,True,True,True
256,4500,DOUBLE,True,True,False,True,True,True,True
257,3500,THREE,True,True,False,True,True,True,True
258,3000,FOUR,True,True,False,True,True,True,True
259,6500,THREE,False,False,False,False,False,False,False
260,15000,SINGLE,True,True,True,True,True,True,True
261,9500,DOUBLE,False,False,False,False,False,False,False
262,7800,DOUBLE,False,False,False,False,False,False,False
263,6500,THREE,False,False,False,False,False,False,False
264,5500,FOUR,False,False,False,False,False,False,False
265,7800,DOUBLE,False,False,False,False,False,False,False
266,6500,THREE,False,False,False,False,False,False,False
267,5500,FOUR,False,False,False,False,False,False,False
268,7000,SINGLE,False,False,False,False,False,False,False
269,7000,DOUBLE,False,False,False,False,False,False,False
270,6000,THREE,False,False,False,False,False,False,False
271,7000,SINGLE,False,False,False,False,False,False,False
272,7000,DOUBLE,False,False,False,False,False,False,False
273,6000,THREE,False,False,False,False,False,False,False
274,5500,FOUR,False,False,False,False,False,False,False
275,7000,SINGLE,False,False,False,False,False,False,False
276,6500,DOUBLE,False,False,False,False,False,False,False
277,6000,THREE,True,True,False,False,True,True,True
278,14000,SINGLE,False,False,False,False,False,False,False
279,10000,DOUBLE,False,False,False,False,False,False,False
280,9500,THREE,False,False,False,False,False,False,False
281,8500,FOUR,False,False,False,False,False,False,False
282,7500,DOUBLE,False,False,False,False,False,False,False
283,6500,THREE,False,False,False,False,False,False,False
284,5500,DOUBLE,False,False,False,False,False,False,False
285,4500,THREE,False,False,False,False,False,False,False
